Original_Label	RootTips_ID	Rhizo_ID	Treatment_LandUseHistory	Salvage_Harvest_Status	Treatment_Moisture	Logging	Treatment_GermintationRate	Height	MeanCanWidth	AbovegroundBiomass	RootDryMass	RootToShootRatio	pH	Texture_Name	Texture_PercentClay	Texture_PercentSilt	Texture_PercentSand	Total_C_percent	Total_N_percent	Na_waterextract_mgperL	NH4_waterextract_mgperL	K_waterextract_mgperL	Mg_waterextract_mgperL	Ca_waterextract_mgperL	Cl_waterextract_mgperL	NO3_waterextract_mgperL	PO4_waterextract_mgperL	SO4_waterextract_mgperL	Fungal_Shannons_Rhizo	Fungal_ObservedFeatures_Rhizo	Fungal_EMF_RA_Rhizo	Fungal_EMF_ObservedFeatures_Rhizo	Fungal_PlantPathogen_RA_Rhizo	Fungal_FungalParasite_RA_Rhizo	Fungal_Shannons_RootTips	Fungal_ObservedFeatures_RootTips	Fungal_EMF_RA_RootTips	Fungal_EMF_ObservedFeatures_RootTips	Fungal_PlantPathogen_RA_RootTips	Fungal_FungalParasite_RA_RootTips	Prokayote_Shannons_Rhizo	Prokayote_ObservedFeatures_Rhizo	vip_mean_ITS_rhizosphere_height_positiveassociations	vip_mean_ITS_rhizosphere_height_negativeassociations	vip_mean_ITS_rhizosphere_meancanwidth_positiveassociations	vip_mean_ITS_rhizosphere_meancanwidth_negativeassociations	vip_mean_ITS_rhizosphere_roottoshootratio_positiveassociations	vip_mean_ITS_rhizosphere_roottoshootratio_negativeassociations	vip_mean_ITS_rhizosphere_abovegroundbiomass_positiveassociations	vip_mean_ITS_rhizosphere_abovegroundbiomass_negativeassociations	vip_mean_ITS_rhizosphere_rootdrymass_positiveassociations	vip_mean_ITS_rhizosphere_rootdrymass_negativeassociations	vip_mean_ITS_roottips_height_positiveassociations	vip_mean_ITS_roottips_height_negativeassociations	vip_mean_ITS_roottips_meancanwidth_positiveassociations	vip_mean_ITS_roottips_roottoshootratio_positiveassociations	vip_mean_ITS_roottips_roottoshootratio_negativeassociations	vip_mean_ITS_roottips_abovegroundbiomass_positiveassociations	vip_mean_ITS_roottips_rootdrymass_positiveassociations	vip_mean_ITS_roottips_rootdrymass_negativeassociations
OG_W_23	RT60	NA	Old_Forest	Non_Salvage_Harvested	Wet	Non_Logged	0.5	5.8	4.4	0.1703	0.3019	1.772753964	NA	SANDY LOAM	10.84006275	19.13688001	70.02305724	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.814466386	92	0.133381748	11	0.00420647	0.005844104	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000198015	0.009231757	0.00013201	0	0	0	0.000177754	0.000893611
OG_W_26	RT61	SFSP146	Old_Forest	Non_Salvage_Harvested	Wet	Non_Logged	0.5	3.8	2.1	0.219	0.0659	0.300913242	NA	SANDY LOAM	10.84006275	19.13688001	70.02305724	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.058551447	224	0.201594443	16	0.002215143	0	1.411612499	55	0.971631206	7	0.002819397	0	5.705987845	586	0.000311116	0.00024267	0.000219025	0.001064015	0.000180926	0.001298389	0.000107215	0.000532008	0.000974452	0.000183904	0.000268514	0.003987434	0.000179009	0	0.020715858	0	0.000296324	0.006300911
OG_W_27	RT62	SFSP147	Old_Forest	Non_Salvage_Harvested	Wet	Non_Logged	0.5	4.6	4.15	0.2073	0.3722	1.795465509	NA	SANDY LOAM	10.84006275	19.13688001	70.02305724	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.531377367	263	0.071324494	17	0.001523704	0.000346296	0.963966548	150	0.834892468	17	0.002070763	0	5.82883671	703	0.000267298	0.000304741	0.000204315	0.001116806	0.000280034	0.000910952	0.000201118	0.000558403	0.000875185	0.002663596	0.001963655	7.74E-05	0.001309103	0.001155878	0.00037488	0	0.001293589	0.000251661
OG_W_28	NA	NA	Old_Forest	Non_Salvage_Harvested	Wet	Non_Logged	0.5	2.8	1.75	0.1893	0.0675	0.356576862	NA	SANDY LOAM	10.84006275	19.13688001	70.02305724	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OG_W_30	NA	NA	Old_Forest	Non_Salvage_Harvested	Wet	Non_Logged	0.5	NA	NA	NA	0.1687	NA	NA	SANDY LOAM	10.84006275	19.13688001	70.02305724	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Pre_W_01	NA	NA	1stPreMPB	Non_Salvage_Harvested	Wet	Logged	0.677419355	5.1	5.3	0.2459	0.3287	1.336722245	NA	SANDY LOAM	9.972708408	34.15311099	55.8741806	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Pre_W_02	RT28	SFSP108	1stPreMPB	Non_Salvage_Harvested	Wet	Logged	0.677419355	5.9	4.5	0.2755	0.3148	1.142649728	NA	SANDY LOAM	9.972708408	34.15311099	55.8741806	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.262360922	137	0.188418577	6	0.001424453	0.000423944	0.596159094	52	0.884243939	7	0.002734497	0.002834193	5.632304128	976	0.028934204	0.000148381	0.013498389	0.000296761	3.55E-05	0.025662766	0.034100781	0.000148381	0.000146454	0.000236467	0.102344262	0.003209237	0.080086909	0	0.024437197	0.125354868	0.021983304	0.000234822
1Pre_W_04	NA	NA	1stPreMPB	Non_Salvage_Harvested	Wet	Logged	0.677419355	4.3	4.75	0.2397	0.5989	2.498539841	NA	SANDY LOAM	9.972708408	34.15311099	55.8741806	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Pre_W_05	RT29	NA	1stPreMPB	Non_Salvage_Harvested	Wet	Logged	0.677419355	5.6	6.2	0.3315	0.4565	1.377073906	NA	SANDY LOAM	9.972708408	34.15311099	55.8741806	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.687444057	38	0.982935877	6	0	0.000835917	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.085486979	0.000406348	0.101469046	0	0.021748343	0.155143789	0.028768217	2.97E-05
1Pre_W_06	NA	SFSP109	1stPreMPB	Non_Salvage_Harvested	Wet	Logged	0.677419355	5.9	5.95	0.2935	0.283096227	0.964552733	5.817	SANDY LOAM	9.972708408	34.15311099	55.8741806	22.9647	0.7074	2.517585612	4.148267949	2.467016689	1.499655985	9.827641741	1.984334025	20.87945677	0.904042947	4.064467284	2.55025232	175	0.05538099	7	0.005322328	0.013800702	NA	NA	NA	NA	NA	NA	6.162506511	1072	0.005262802	0.00014473	0.000735788	0.000662957	3.81E-05	0.005502851	0.006244577	0.000331478	0.000199764	0.000312285	NA	NA	NA	NA	NA	NA	NA	NA
1Pre_W_08	RT30	SFSP110	1stPreMPB	Non_Salvage_Harvested	Wet	Logged	0.677419355	6.2	6	0.383	0.7078	1.848041775	NA	SANDY LOAM	9.972708408	34.15311099	55.8741806	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.842470845	175	0.014987715	4	0.005059269	0.001881546	0.492508227	59	0.51104707	8	0	0.002793168	5.638597031	604	0.035531171	0	0.034787699	0	1.73E-05	0.032418344	0.044446303	0	0.000771624	0.000383278	0.119781889	0.002320009	0.103359942	0	0.002869484	0.150762398	0.033746149	0.000169757
1Pre_W_10	NA	NA	1stPreMPB	Non_Salvage_Harvested	Wet	Logged	0.677419355	7.3	5.85	0.289	0.2942	1.01799308	NA	SANDY LOAM	9.972708408	34.15311099	55.8741806	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Pre_W_11	NA	NA	1stPreMPB	Non_Salvage_Harvested	Wet	Logged	0.677419355	5.6	4.95	0.3361	0.5077	1.510562333	NA	SANDY LOAM	9.972708408	34.15311099	55.8741806	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Pre_W_14	NA	SFSP111	1stPreMPB	Non_Salvage_Harvested	Wet	Logged	0.677419355	5.9	4.6	0.1745	0.119695486	0.685934018	5.902	SANDY LOAM	9.972708408	34.15311099	55.8741806	22.2346	0.714	2.258284703	6.752144127	2.516112591	1.302399349	8.139422512	1.883253837	21.1658952	1.329725367	4.179613573	3.13750484	191	0.601123309	9	0.010140959	0.027664537	NA	NA	NA	NA	NA	NA	5.77469462	715	0.0058957	0.000156171	0.00200791	0.000765642	5.62E-05	0.005895278	0.003819241	0.000382821	0.000331271	0.000396624	NA	NA	NA	NA	NA	NA	NA	NA
1Pre_W_15	NA	NA	1stPreMPB	Non_Salvage_Harvested	Wet	Logged	0.677419355	NA	NA	0.0097	0.0266	2.742268041	NA	SANDY LOAM	9.972708408	34.15311099	55.8741806	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Pre_W_16	NA	NA	1stPreMPB	Non_Salvage_Harvested	Wet	Logged	0.677419355	6.9	6.7	0.4101	0.9728	2.372104365	NA	SANDY LOAM	9.972708408	34.15311099	55.8741806	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Pre_W_17	RT31	NA	1stPreMPB	Non_Salvage_Harvested	Wet	Logged	0.677419355	7.5	5.65	0.3018	0.6983	2.313783963	NA	SANDY LOAM	9.972708408	34.15311099	55.8741806	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.740020054	107	0.047864918	8	0.001577568	0.045673138	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.022700864	0.001552123	0.022068989	0	0.000551301	0.029210453	0.032075701	0.00011357
1Pre_W_18	NA	NA	1stPreMPB	Non_Salvage_Harvested	Wet	Logged	0.677419355	7.6	6.35	0.4149	0.5158	1.24319113	NA	SANDY LOAM	9.972708408	34.15311099	55.8741806	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Pre_W_19	RT32	NA	1stPreMPB	Non_Salvage_Harvested	Wet	Logged	0.677419355	5	6.35	0.4528	0.4123	0.910556537	NA	SANDY LOAM	9.972708408	34.15311099	55.8741806	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.829787798	72	0.86368826	6	3.77E-05	0.006924398	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.070152764	0.000641497	0.061797576	0	0.012993466	0.0994824	0.019838574	4.69E-05
1Pre_W_20	NA	NA	1stPreMPB	Non_Salvage_Harvested	Wet	Logged	0.677419355	6.9	6.15	0.3291	0.4618	1.403220905	NA	SANDY LOAM	9.972708408	34.15311099	55.8741806	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Pre_W_21	NA	SFSP112	1stPreMPB	Non_Salvage_Harvested	Wet	Logged	0.677419355	6.1	6	0.3171	0.337030244	1.062851605	NA	SANDY LOAM	9.972708408	34.15311099	55.8741806	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.006509841	170	0.013176169	7	0.005898359	0.008829983	NA	NA	NA	NA	NA	NA	6.081128279	1229	0.007638462	7.37E-05	0.004809971	0.000342315	4.73E-05	0.007922018	0.011916899	0.000171158	0.000177142	0.000342315	NA	NA	NA	NA	NA	NA	NA	NA
1Pre_W_22	RT33	SFSP113	1stPreMPB	Non_Salvage_Harvested	Wet	Logged	0.677419355	6.9	7.05	0.2126	0.234912313	1.10494973	5.762	SANDY LOAM	9.972708408	34.15311099	55.8741806	22.897	0.7143	2.225135289	5.099829375	2.25641614	1.789050237	10.99234347	1.71669722	21.98400982	0.983840046	3.897869767	2.88350919	183	0.562940098	9	0.00582829	0.00358664	0.950085812	63	0.974136486	7	0	0	6.43560854	1620	0.023443921	0	0.02059329	0	1.87E-05	0.021009241	0.022068755	0	0.000151142	0.000489842	0.043974965	0.003451974	0.075979735	0	0.072328072	0.107488773	0.010465442	0.000355579
1Pre_W_23	NA	SFSP114	1stPreMPB	Non_Salvage_Harvested	Wet	Logged	0.677419355	6.2	6.35	0.1847	0.214352568	1.160544492	NA	SANDY LOAM	9.972708408	34.15311099	55.8741806	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.926869771	220	0.501519485	9	0.007975895	0.002534562	NA	NA	NA	NA	NA	NA	6.355837968	1561	0.015761255	0.00013559	0.006866359	0.000567175	4.33E-05	0.014626413	0.013924413	0.000283587	0.000198726	0.000369254	NA	NA	NA	NA	NA	NA	NA	NA
1Pre_W_24	NA	NA	1stPreMPB	Non_Salvage_Harvested	Wet	Logged	0.677419355	6	6.25	0.3513	0.66	1.878736123	NA	SANDY LOAM	9.972708408	34.15311099	55.8741806	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Pre_W_25	NA	SFSP115	1stPreMPB	Non_Salvage_Harvested	Wet	Logged	0.677419355	5.8	5.95	0.3101	0.6379	2.057078362	NA	SANDY LOAM	9.972708408	34.15311099	55.8741806	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.023412289	213	0.021443246	9	0.004585461	0.008801478	NA	NA	NA	NA	NA	NA	6.233108881	1291	0.005537596	0.000103227	0.001821145	0.000472672	1.71E-05	0.006266073	0.007153186	0.000236336	0.000219296	0.000470861	NA	NA	NA	NA	NA	NA	NA	NA
1Pre_W_26	NA	NA	1stPreMPB	Non_Salvage_Harvested	Wet	Logged	0.677419355	6.2	5.8	0.2877	0.545	1.894334376	NA	SANDY LOAM	9.972708408	34.15311099	55.8741806	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Pre_W_27	RT34	NA	1stPreMPB	Non_Salvage_Harvested	Wet	Logged	0.677419355	3.6	3.2	0.1729	0.2007	1.160786582	NA	SANDY LOAM	9.972708408	34.15311099	55.8741806	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.567751178	57	0.991325862	5	8.25E-05	0.000212199	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.077340674	0.000400821	0.082348965	0	0.046552158	0.130028922	0.019528632	2.93E-05
2Pre_W_01	RT8	SFSP84	2ndPreMPB	Non_Salvage_Harvested	Wet	Logged	0.366666667	5.1	4.35	0.1041	0.5199	4.994236311	6.214	SANDY LOAM	10.65692373	31.11001966	58.2330566	6.579	0.2114	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.989736027	224	0.041312559	7	0.028794609	0.000440343	0.621180191	58	0.94897202	5	0	0	5.745077764	640	0.003438984	0.000704549	0.000421198	0.003106333	4.20E-05	0.003074956	0.003132474	0.001553167	0.004278116	8.40E-05	0.003471525	0.001503984	0.00231435	0.008208817	0	0.001828474	0.001053488	0.000159418
2Pre_W_02	NA	NA	2ndPreMPB	Non_Salvage_Harvested	Wet	Logged	0.366666667	NA	NA	0.1916	NA	NA	5.594	SANDY LOAM	10.65692373	31.11001966	58.2330566	3.2955	0.1424	2.222377041	1.462400507	3.172800724	1.290137286	9.111250706	1.798168206	9.629156246	0.18064265	3.402383954	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2Pre_W_06	RT9	SFSP85	2ndPreMPB	Non_Salvage_Harvested	Wet	Logged	0.366666667	5.2	4.35	0.0975	0.2123	2.177435897	6.279	SANDY LOAM	10.65692373	31.11001966	58.2330566	4.9479	0.1784	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.079584547	182	0.048675867	9	0.207623699	0.000976853	0.545827099	84	0.966299193	11	0.000256608	0	5.71212601	635	0.000796347	0.000653005	0.000191123	0.003190699	0.000246664	0.000664213	8.00E-05	0.001595349	0.001584329	0.00010618	0.000937331	6.42E-05	0.000624887	0.000130977	0	0	0.000747293	0.001883876
2Pre_W_07	NA	SFSP86	2ndPreMPB	Non_Salvage_Harvested	Wet	Logged	0.366666667	5.2	5	0.1604	0.284380932	1.772948451	NA	SANDY LOAM	10.65692373	31.11001966	58.2330566	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.89804805	273	0.248805173	14	0.012341548	0.004350051	NA	NA	NA	NA	NA	NA	5.820271401	681	0.004662527	0.002285253	0.000531454	0.009807299	0.000110909	0.002902221	0.000292224	0.005275175	0.006108443	0.001062908	NA	NA	NA	NA	NA	NA	NA	NA
2Pre_W_11	RT10	NA	2ndPreMPB	Non_Salvage_Harvested	Wet	Logged	0.366666667	3.2	2.6	0.057	0.0946	1.659649123	NA	SANDY LOAM	10.65692373	31.11001966	58.2330566	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.70197822	27	0.99582021	6	0.000490523	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0.000366257	0	0	0	0	0.003429457	0.016776368
2Pre_W_13	RT11	SFSP87	2ndPreMPB	Non_Salvage_Harvested	Wet	Logged	0.366666667	4.9	5.2	0.2155	0.4996	2.318329466	6.149	SANDY LOAM	10.65692373	31.11001966	58.2330566	4.4505	0.1803	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.47241398	296	0.019697312	13	0.149231291	0.00042747	1.079858445	165	0.597583693	11	0.00887925	0.000648797	5.963554339	871	0.000977469	0.001034772	0.000383249	0.004462641	0.000116505	0.001573942	0.000168947	0.002246061	0.001746955	0.000186711	0.009036815	6.80E-05	0.006024543	0.000162199	0	0	0.00828474	0.000222445
