Sample	Sample_Type	Tree	Time_Point	Replicate	Treatment_LandUseHistory	Salvage_Harvest_Status	Treatment_Moisture	Acephala	Achroiostachys	Agaricus	Alternaria	Amanita	Antrodiella	Apiotrichum	Apseudocercosporella	Ascochyta	Aspergillus	Aureobasidium	Auricularia	Barrenia	Basidioascus	Beauveria	Bergerella	Bovista	Cadophora	Calonarius	Calvatia	Candida	Candolleomyces	Ceratobasidiaceae_gen_Incertae_sedis	Chaetomium	Chaetospermum	Chalara	Chroogomphus	Chrysozyma	Cladophialophora	Cladosporium	Clarireedia	Clitopilus	Clonostachys	Coleophoma	Coniochaeta	Coprinellus	Coprinopsis	Cortinarius	Cosmospora	Cristulariella	Curvularia	Cutaneotrichosporon	Cyphellophora	Cystobasidium	Darksidea	Debaryomyces	Didymosphaeria	Diversispora	Dothiora	Emericellopsis	Entoloma	Entomocorticium	Epicoccum	Erysiphe	Filobasidium	Fonsecaea	Fontanospora	Funneliformis	Furcasterigmium	Fusarium	Gaeumannomyces	Ganoderma	Gliomastix	Gloeopycnis	Gymnopilus	Gyoerffyella	Hanseniaspora	Harzia	Hebeloma	Helotiales_gen_Incertae_sedis	Humicola	Hyaloscyphaceae_gen_Incertae_sedis	Hydnum	Hygrophorus	Hypoderma	Ilyonectria	Inocybe	Juncaceicola	Knufia	Laccaria	Lachnum	Lactarius	Lentithecium	Leohumicola	Leucosporidium	Linnemannia	Lophiostoma	Lycoperdon	Lyophyllum	Macroconia	Mallocybe	Mariannaea	Megalocystidium	Metapochonia	Microbotryum	Microdochium	Minimelanolocus	Morchella	Mortierella	Mrakia	Mucor	Mycena	Mycodidymella	Myrtapenidiella	Naganishia	Neoantrodia	Neoascochyta	Neocucurbitaria	Neodidymelliopsis	Neofabraea	Neophaeomoniella	Nigrospora	Nodulosphaeria	Oculimacula	Odontia	Panaeolina	Papiliotrema	Parabartalinia	Paraboeremia	Paraleptosphaeria	Paraphaeosphaeria	Paraphoma	Penicillium	Pezicula	Peziza	Phenoliferia	Phialocephala	Phlebia	Phlebiopsis	Phlegmacium	Piloderma	Plectosphaerella	Pluteus	Polyozellus	Psathyrella	Pseudeurotium	Pseudofusicoccum	Pseudogymnoascus	Pseudopezicula	Pseudophaeomoniella	Pseudosperma	Pseudoteratosphaeria	Pyrenochaetopsis	Rhizopogon	Rhodosporidiobolus	Rhodotorula	Rickenella	Russula	Sarcodon	Satchmopsis	Sclerostagonospora	Sebacina	Selenophoma	Septoriella	Serendipita	Serendipitaceae_gen_Incertae_sedis	Simplicillium	Solicoccozyma	Stagonospora	Stagonosporopsis	Strobilurus	Subulicystidium	Suillus	Symmetrospora	Talaromyces	Thaxterogaster	Thelephora	Thelephoraceae_gen_Incertae_sedis	Thelonectria	Thyronectria	Tolypocladium	Tomentella	Tomentellopsis	Torula	Trichocladium	Trichoderma	Tricholoma	Tricladium	Tubaria	Umbelopsis	Unknown	Vacuiphoma	Venturia	Verticillium	Vishniacozyma	Vuilleminia	Wilcoxina	Xenodidymella	Xenopenidiella
RT27	Root Tip	Tree	Day_of_Harvest	30	1stPostMPB	Salvage_Harvested	Wet	13915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	0	31	0	0	0	5	0	0
RT28	Root Tip	Tree	Day_of_Harvest	2	1stPreMPB	Non_Salvage_Harvested	Wet	649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	74	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	32	0	36	0	0	0	0	0	6	0	3	0	0	0	55	0	0	0	0	0	0	0	976	0	0	0	0	2	0	0	0	13058	0	0	0	0	0	0	0	0	0	0	0	0	0	54668	0	186	0	0	0	27	0	0
RT29	Root Tip	Tree	Day_of_Harvest	5	1stPreMPB	Non_Salvage_Harvested	Wet	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	6	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	2	0	0	42	0	0	0	0	0	0	0	0	9263	0	0	0	0	0	0	0	0	0	0	0	0	0	47835	0	0	0	0	0	11	0	0
RT30	Root Tip	Tree	Day_of_Harvest	8	1stPreMPB	Non_Salvage_Harvested	Wet	284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	6	11	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	7	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	4	0	0	2	0	4	0	10	0	0	0	0	0	34	0	6	0	0	0	107	0	0	0	0	0	71	0	29	0	0	0	0	0	0	0	0	466	0	0	0	0	0	0	0	0	0	0	0	0	0	42260	0	0	0	0	0	26	0	0
RT31	Root Tip	Tree	Day_of_Harvest	17	1stPreMPB	Non_Salvage_Harvested	Wet	652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	15	0	0	83	0	0	30	0	0	0	0	0	7	0	0	0	0	0	1795	0	0	0	0	0	0	0	4	0	0	0	8	0	0	0	0	0	23	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	13	0	3	0	0	0	124	235	0	15	0	0	0	0	0	0	0	0	0	0	0	6	6	0	24	0	1830	0	0	0	0	0	0	0	0	6	0	0	0	12	0	0	0	0	279	0	0	0	0	0	0	0	0	0	0	0	0	165	0	10	0	0	0	0	0	12	0	0	0	2	0	927	0	0	0	0	0	0	0	1287	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	0	0	0	0	0	0	0	31221	0	9	0	149	0	38	0	0
RT32	Root Tip	Tree	Day_of_Harvest	19	1stPreMPB	Non_Salvage_Harvested	Wet	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	367	0	0	0	0	0	0	0	0	0	0	209	7	0	0	0	61	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	159	0	0	0	0	0	0	0	0	0	0	0	0	0	879	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0	0	0	0	0	0	0	0	0	0	12	0	4	0	0	0	0	0	0	0	5	0	0	0	45	0	0	0	0	0	0	0	954	0	0	0	0	0	0	0	0	17387	0	0	0	0	0	0	0	0	0	0	0	0	6	32407	0	2	0	0	0	12	0	0
RT33	Root Tip	Tree	Day_of_Harvest	22	1stPreMPB	Non_Salvage_Harvested	Wet	514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	14	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	22	0	0	0	0	120	67	617	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0	0	6	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23220	0	0	0	0	0	0	0	0	0	0	0	0	0	14712	0	0	0	0	0	13	0	0
RT34	Root Tip	Tree	Day_of_Harvest	27	1stPreMPB	Non_Salvage_Harvested	Wet	321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	51	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	24	0	5	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	34030	0	0	0	0	0	0	0	0	0	0	0	0	0	50071	0	7	0	0	0	27	0	0
RT56	Root Tip	Tree	Day_of_Harvest	8	Old_Forest	Non_Salvage_Harvested	Wet	14007	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	770	0	0	341	0	0	92	3	0	22	0	0	0	0	0	31	0	0	0	0	0	57	0	0	0	0	0	0	0	18	0	0	0	453	0	0	0	211	0	0	0	0	0	0	0	0	0	180	0	97	67	0	0	0	7	0	0	0	0	0	0	0	502	1626	0	13	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	962	0	0	0	0	0	0	0	181	0	0	0	0	886	0	90	0	0	0	0	0	18673	0	296	0	0	0	338	0	0	0	0	0	0	0	114	0	0	13	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	32	25413	0	10	0	0	0	12	0	0
RT57	Root Tip	Tree	Day_of_Harvest	12	Old_Forest	Non_Salvage_Harvested	Wet	2681	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	624	0	0	114	0	0	16	9	0	7	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	2	0	0	0	0	0	0	0	0	0	66	0	12	0	0	0	0	0	0	4	0	0	0	0	21	471	0	0	0	0	0	0	0	0	72	0	0	0	0	2	0	0	0	0	0	13	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	12	0	19	0	10	0	0	0	0	0	5581	0	185	0	0	0	31	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	11731	0	15	0	0	0	1122	0	0
RT58	Root Tip	Tree	Day_of_Harvest	13	Old_Forest	Non_Salvage_Harvested	Wet	9329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	508	0	0	30	0	0	38	0	9	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1058	0	0	0	0	0	13	0	0	0	0	0	0	0	634	0	19	0	0	0	0	22	0	9	0	0	0	0	119	1704	360	0	0	0	0	0	0	0	111	0	0	0	0	34	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	262	0	0	0	0	0	0	0	23	0	0	0	0	125	0	25	0	0	0	0	0	16361	0	72	0	0	0	35	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	5	0	0	4	25612	0	41	0	0	0	4416	0	0
RT59	Root Tip	Tree	Day_of_Harvest	19	Old_Forest	Non_Salvage_Harvested	Wet	3848	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6971	0	0	44	0	0	15	0	0	35	0	0	0	0	0	115	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	5	0	0	0	0	0	0	0	0	2	80	0	0	14	0	0	0	29	0	26	10	0	0	0	0	88	436	0	6	0	0	0	0	0	22	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	8015	0	0	0	0	310	0	27	0	0	0	0	0	0	0	145	0	0	0	75	0	0	0	0	0	9	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	44819	0	99	0	0	0	61	0	0
RT60	Root Tip	Tree	Day_of_Harvest	23	Old_Forest	Non_Salvage_Harvested	Wet	6482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	63	0	0	0	0	0	364	0	0	0	0	0	0	0	0	0	4	0	1690	0	0	0	73	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	425	0	0	0	0	0	38	191	0	0	0	0	0	0	0	8	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	145	0	0	0	0	63	0	0	0	0	0	0	0	9	0	465	0	71	0	73	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	51316	0	258	0	0	0	193	0	0
RT61	Root Tip	Tree	Day_of_Harvest	26	Old_Forest	Non_Salvage_Harvested	Wet	7132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	17	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	58	0	0	0	0	0	0	0	1231	0	0	0	0	22	0	0	0	0	0	0	0	4	0	0	7	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	6362	0	63	0	0	0	9697	0	0
RT62	Root Tip	Tree	Day_of_Harvest	27	Old_Forest	Non_Salvage_Harvested	Wet	3736	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	8	0	0	414	0	0	58	2	0	17	0	18	0	0	0	141	0	0	22	0	0	0	0	6	0	0	0	0	0	0	0	0	0	813	0	0	0	0	0	36	0	0	0	0	0	0	0	75	0	25	0	0	0	0	0	0	0	0	0	36	0	170	655	1154	0	41	0	0	0	0	0	13	0	0	0	0	36	17	0	0	0	0	0	28	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	397	0	0	0	0	0	0	0	65	0	0	0	0	321	0	56	0	0	0	0	0	15816	0	38	0	0	0	74	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	37	0	0	0	8	0	0	0	0	0	10	0	0	56	30265	0	32	4	0	5	1206	0	0
