SampleID	Original_Label	Corrected_ID	Sample_Type	Tree	Time_Point	Replicate	Treatment_LandUseHistory	MPB_Impacted	Treatment_Moisture	pH	Total_C_percent	Total_N_percent	Na_waterextract_mgperL	NH4_waterextract_mgperL	K_waterextract_mgperL	Mg_waterextract_mgperL	Ca_waterextract_mgperL	Cl_waterextract_mgperL	NO3_waterextract_mgperL	PO4_waterextract_mgperL	SO4_waterextract_mgperL
SFSP110	1Pre_W_8	SFGB110	Rhizosphere	Tree	Day_of_Harvest	8	1stPreMPB	Non_MPB	Wet	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SFSP111	1Pre_W_14	SFGB111	Rhizosphere	Tree	Day_of_Harvest	14	1stPreMPB	Non_MPB	Wet	5.902	22.2346	0.714	2.258284703	6.752144127	2.516112591	1.302399349	8.139422512	1.883253837	21.1658952	1.329725367	4.179613573
SFSP112	1Pre_W_21	SFGB112	Rhizosphere	Tree	Day_of_Harvest	21	1stPreMPB	Non_MPB	Wet	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SFSP113	1Pre_W_22	SFGB113	Rhizosphere	Tree	Day_of_Harvest	22	1stPreMPB	Non_MPB	Wet	5.762	22.897	0.7143	2.225135289	5.099829375	2.25641614	1.789050237	10.99234347	1.71669722	21.98400982	0.983840046	3.897869767
SFSP114	1Pre_W_23	SFGB114	Rhizosphere	Tree	Day_of_Harvest	23	1stPreMPB	Non_MPB	Wet	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SFSP115	1Pre_W_25	SFGB115	Rhizosphere	Tree	Day_of_Harvest	25	1stPreMPB	Non_MPB	Wet	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SFSP140	OG_W_4	SFGB140	Rhizosphere	Tree	Day_of_Harvest	4	Old_Forest	Non_MPB	Wet	5.683	3.3185	0.154	1.972699038	1.340739611	2.780906167	0.706413902	6.070124265	1.606889283	10.05009697	0.269056251	2.800354726
SFSP141	OG_W_5	SFGB141	Rhizosphere	Tree	Day_of_Harvest	5	Old_Forest	Non_MPB	Wet	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SFSP142	OG_W_6	SFGB142	Rhizosphere	Tree	Day_of_Harvest	6	Old_Forest	Non_MPB	Wet	5.637	4.406	0.1839	1.997011285	1.17267468	2.897255719	0.909297135	5.598527455	1.478781866	10.16745495	0.455221463	3.131891787
SFSP143	OG_W_7	SFGB143	Rhizosphere	Tree	Day_of_Harvest	7	Old_Forest	Non_MPB	Wet	5.963	3.1758	0.1464	2.341866962	1.865092135	3.097802494	0.923745585	5.741093531	1.805058355	10.35048151	0.347106402	3.088354846
SFSP144	OG_W_13	SFGB144	Rhizosphere	Tree	Day_of_Harvest	13	Old_Forest	Non_MPB	Wet	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SFSP145	OG_W_22	SFGB145	Rhizosphere	Tree	Day_of_Harvest	22	Old_Forest	Non_MPB	Wet	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SFSP146	OG_W_26	SFGB146	Rhizosphere	Tree	Day_of_Harvest	26	Old_Forest	Non_MPB	Wet	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SFSP147	OG_W_27	SFGB147	Rhizosphere	Tree	Day_of_Harvest	27	Old_Forest	Non_MPB	Wet	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SFSP156	2Post_W_3	SFGB156	Rhizosphere	Tree	Day_of_Harvest	3	2ndPostMPB	MPB	Wet	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SFSP157	2Post_W_4	SFGB157	Rhizosphere	Tree	Day_of_Harvest	4	2ndPostMPB	MPB	Wet	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SFSP158	2Post_W_5	SFGB158	Rhizosphere	Tree	Day_of_Harvest	5	2ndPostMPB	MPB	Wet	6.216	1.3389	0.104	2.001231131	1.69314959	2.321627476	1.377350216	7.435816893	1.864651148	9.806614364	0.082374523	2.373226249
SFSP159	2Post_W_9	SFGB159	Rhizosphere	Tree	Day_of_Harvest	9	2ndPostMPB	MPB	Wet	6.398	1.8794	0.1283	2.086470753	0.201671054	2.617683315	1.395151419	8.368500615	1.685387742	7.455389809	0.075212425	3.273359369
SFSP160	2Post_W_17	SFGB160	Rhizosphere	Tree	Day_of_Harvest	17	2ndPostMPB	MPB	Wet	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SFSP161	2Post_W_18	SFGB161	Rhizosphere	Tree	Day_of_Harvest	18	2ndPostMPB	MPB	Wet	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SFSP162	2Post_W_25	SFGB162	Rhizosphere	Tree	Day_of_Harvest	25	2ndPostMPB	MPB	Wet	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SFSP163	2Post_W_26	SFGB163	Rhizosphere	Tree	Day_of_Harvest	26	2ndPostMPB	MPB	Wet	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SFSP164	RC_W_9	SFGB164	Rhizosphere	Tree	Day_of_Harvest	9	Recent_Cut	MPB	Wet	6.14	8.3545	0.2736	2.558185777	2.313938459	2.090083165	1.569527308	9.125960052	2.303286434	10.52772486	0.234256984	3.040443648
SFSP165	RC_W_15	SFGB165	Rhizosphere	Tree	Day_of_Harvest	15	Recent_Cut	MPB	Wet	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SFSP166	RC_W_16	SFGB166	Rhizosphere	Tree	Day_of_Harvest	16	Recent_Cut	MPB	Wet	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SFSP167	RC_W_17	SFGB167	Rhizosphere	Tree	Day_of_Harvest	17	Recent_Cut	MPB	Wet	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SFSP168	RC_W_20	SFGB168	Rhizosphere	Tree	Day_of_Harvest	20	Recent_Cut	MPB	Wet	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SFSP169	RC_W_22	SFGB169	Rhizosphere	Tree	Day_of_Harvest	22	Recent_Cut	MPB	Wet	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SFSP170	RC_W_26	SFGB170	Rhizosphere	Tree	Day_of_Harvest	26	Recent_Cut	MPB	Wet	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SFSP171	RC_W_27	SFGB171	Rhizosphere	Tree	Day_of_Harvest	27	Recent_Cut	MPB	Wet	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SFSP84	2Pre_W_1	SFGB84	Rhizosphere	Tree	Day_of_Harvest	1	2ndPreMPB	Non_MPB	Wet	6.214	6.579	0.2114	NA	NA	NA	NA	NA	NA	NA	NA	NA
SFSP85	2Pre_W_6	SFGB85	Rhizosphere	Tree	Day_of_Harvest	6	2ndPreMPB	Non_MPB	Wet	6.279	4.9479	0.1784	NA	NA	NA	NA	NA	NA	NA	NA	NA
SFSP86	2Pre_W_7	SFGB86	Rhizosphere	Tree	Day_of_Harvest	7	2ndPreMPB	Non_MPB	Wet	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SFSP87	2Pre_W_13	SFGB87	Rhizosphere	Tree	Day_of_Harvest	13	2ndPreMPB	Non_MPB	Wet	6.149	4.4505	0.1803	NA	NA	NA	NA	NA	NA	NA	NA	NA
SFSP88	2Pre_W_17	SFGB88	Rhizosphere	Tree	Day_of_Harvest	17	2ndPreMPB	Non_MPB	Wet	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SFSP89	2Pre_W_22	SFGB89	Rhizosphere	Tree	Day_of_Harvest	22	2ndPreMPB	Non_MPB	Wet	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SFSP90	2Pre_W_24	SFGB90	Rhizosphere	Tree	Day_of_Harvest	24	2ndPreMPB	Non_MPB	Wet	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SFSP91	2Pre_W_28	SFGB91	Rhizosphere	Tree	Day_of_Harvest	28	2ndPreMPB	Non_MPB	Wet	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
