Sample	Sample_Type	Tree	Time_Point	Replicate	Treatment_LandUseHistory	MPB_Impacted	Treatment_Moisture	Acephala	Achroiostachys	Agaricus	Alternaria	Amanita	Antrodiella	Apiotrichum	Apseudocercosporella	Ascochyta	Aspergillus	Aureobasidium	Auricularia	Barrenia	Basidioascus	Beauveria	Bergerella	Bovista	Cadophora	Calonarius	Calvatia	Candida	Candolleomyces	Ceratobasidiaceae_gen_Incertae_sedis	Chaetomium	Chaetospermum	Chalara	Chroogomphus	Chrysozyma	Cladophialophora	Cladosporium	Clarireedia	Clitopilus	Clonostachys	Coleophoma	Coniochaeta	Coprinellus	Coprinopsis	Cortinarius	Cosmospora	Cristulariella	Curvularia	Cutaneotrichosporon	Cyphellophora	Cystobasidium	Darksidea	Debaryomyces	Didymosphaeria	Diversispora	Dothiora	Emericellopsis	Entoloma	Entomocorticium	Epicoccum	Erysiphe	Filobasidium	Fonsecaea	Fontanospora	Funneliformis	Furcasterigmium	Fusarium	Gaeumannomyces	Ganoderma	Gliomastix	Gloeopycnis	Gymnopilus	Gyoerffyella	Hanseniaspora	Harzia	Hebeloma	Helotiales_gen_Incertae_sedis	Humicola	Hyaloscyphaceae_gen_Incertae_sedis	Hydnum	Hygrophorus	Hypoderma	Ilyonectria	Inocybe	Juncaceicola	Knufia	Laccaria	Lachnum	Lactarius	Lentithecium	Leohumicola	Leucosporidium	Linnemannia	Lophiostoma	Lycoperdon	Lyophyllum	Macroconia	Mallocybe	Mariannaea	Megalocystidium	Metapochonia	Microbotryum	Microdochium	Minimelanolocus	Morchella	Mortierella	Mrakia	Mucor	Mycena	Mycodidymella	Myrtapenidiella	Naganishia	Neoantrodia	Neoascochyta	Neocucurbitaria	Neodidymelliopsis	Neofabraea	Neophaeomoniella	Nigrospora	Nodulosphaeria	Oculimacula	Odontia	Panaeolina	Papiliotrema	Parabartalinia	Paraboeremia	Paraleptosphaeria	Paraphaeosphaeria	Paraphoma	Penicillium	Pezicula	Peziza	Phenoliferia	Phialocephala	Phlebia	Phlebiopsis	Phlegmacium	Piloderma	Plectosphaerella	Pluteus	Polyozellus	Psathyrella	Pseudeurotium	Pseudofusicoccum	Pseudogymnoascus	Pseudopezicula	Pseudophaeomoniella	Pseudosperma	Pseudoteratosphaeria	Pyrenochaetopsis	Rhizopogon	Rhodosporidiobolus	Rhodotorula	Rickenella	Russula	Sarcodon	Satchmopsis	Sclerostagonospora	Sebacina	Selenophoma	Septoriella	Serendipita	Serendipitaceae_gen_Incertae_sedis	Simplicillium	Solicoccozyma	Stagonospora	Stagonosporopsis	Strobilurus	Subulicystidium	Suillus	Symmetrospora	Talaromyces	Thaxterogaster	Thelephora	Thelephoraceae_gen_Incertae_sedis	Thelonectria	Thyronectria	Tolypocladium	Tomentella	Tomentellopsis	Torula	Trichocladium	Trichoderma	Tricholoma	Tricladium	Tubaria	Umbelopsis	Unknown	Vacuiphoma	Venturia	Verticillium	Vishniacozyma	Vuilleminia	Wilcoxina	Xenodidymella	Xenopenidiella
SFSP110	Rhizosphere	Tree	Day_of_Harvest	8	1stPreMPB	Non_MPB	Wet	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	91	0	0	82	0	0	23	0	5	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	122	0	0	0	0	0	226	8523	0	22	0	0	0	0	0	0	0	0	0	0	27	115	0	0	169	0	41	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	4	201	0	0	0	0	0	0	0	0	0	0	0	0	152	0	68	0	6	0	0	0	7	0	0	0	0	0	1312	0	0	0	0	0	981	0	968	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	90	0	0	0	0	33982	0	58	0	0	0	25	0	0
SFSP111	Rhizosphere	Tree	Day_of_Harvest	14	1stPreMPB	Non_MPB	Wet	133	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	234	0	0	16	0	7	9	0	0	11	0	0	0	0	0	1344	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	1867	0	0	0	0	0	0	0	0	0	44	0	16	0	0	0	0	0	0	16	0	28	0	0	0	474	17074	0	40	0	0	0	0	0	0	0	0	0	0	0	106	2	0	261	0	385	0	0	0	0	0	0	0	0	14	0	0	0	46	0	0	0	26	179	0	0	0	0	0	0	0	0	0	4	3	0	976	0	44	0	5	0	0	0	10	0	30	0	0	0	717	0	0	0	0	0	0	0	2463	0	0	0	0	0	0	0	0	11740	0	0	0	0	0	0	0	0	20	0	0	0	18	10450	0	187	0	0	0	9	0	0
SFSP112	Rhizosphere	Tree	Day_of_Harvest	21	1stPreMPB	Non_MPB	Wet	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	55	0	0	17431	0	0	34	0	0	7	0	0	0	0	0	488	0	0	0	0	0	0	0	0	0	0	377	230	0	0	0	2346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	55	440	14293	0	2080	0	0	0	0	0	0	0	0	0	0	2	15	0	0	38	0	1084	0	0	0	0	0	0	0	0	125	0	0	0	0	11	0	0	17	444	11	0	0	0	0	0	0	0	0	0	0	0	166	0	28	0	0	0	0	0	9	0	0	0	0	0	782	0	0	0	0	0	0	0	3471	0	0	0	0	0	0	0	0	329	0	0	0	0	0	0	0	0	15	0	0	0	0	12071	0	156	0	0	0	25	0	0
SFSP113	Rhizosphere	Tree	Day_of_Harvest	22	1stPreMPB	Non_MPB	Wet	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	118	0	0	54	0	0	23	0	14	167	0	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	181	0	0	0	1403	0	0	0	0	0	0	0	0	0	28	0	20	2	0	0	0	2	0	49	0	0	0	0	0	292	16054	0	5	0	0	0	0	0	0	0	0	0	0	119	728	0	0	187	0	122	0	0	0	0	0	0	0	0	12	0	0	0	32	0	0	2	12	225	0	3	0	0	0	0	0	0	0	0	0	0	187	0	35	0	0	0	0	0	0	0	0	0	0	0	569	0	0	0	0	0	0	0	1276	0	0	0	0	0	0	0	0	5807	0	0	0	0	2	0	0	0	12	0	0	0	10	25311	0	87	0	0	0	23	0	0
SFSP114	Rhizosphere	Tree	Day_of_Harvest	23	1stPreMPB	Non_MPB	Wet	100	0	0	5	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	6	0	0	255	0	0	93	0	0	26	0	5	43	0	0	6	0	0	0	0	0	129	0	11	0	0	0	0	0	0	0	0	0	142	0	0	0	963	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	19	0	36	0	0	0	0	0	462	20681	0	10	0	0	0	0	0	0	0	0	0	0	43	622	0	0	232	0	122	0	0	0	0	5	0	0	0	3	0	0	0	31	0	0	0	25	366	0	0	0	0	0	0	0	0	0	0	0	0	315	0	37	0	0	0	0	0	8	0	22	0	0	0	929	0	0	0	0	0	0	0	1455	0	0	0	0	0	2	0	0	5561	0	0	0	0	0	0	0	0	14	0	0	0	3	23423	0	180	0	0	0	17	0	0
SFSP115	Rhizosphere	Tree	Day_of_Harvest	25	1stPreMPB	Non_MPB	Wet	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	8	0	0	217	0	0	55	0	0	25	0	0	11	0	0	0	0	0	0	0	0	373	0	0	0	0	0	0	0	0	0	0	0	317	0	0	0	337	0	0	0	0	0	0	0	0	0	128	0	20	0	0	0	0	0	0	154	0	2	0	0	0	437	20143	0	40	0	0	0	0	0	0	0	0	0	0	12	19	0	0	122	0	313	0	0	0	0	8	0	0	0	10	0	0	0	11	0	0	0	0	244	4	0	0	0	0	0	7	9	0	0	0	0	296	0	75	0	2	0	0	0	0	0	19	0	0	0	788	0	0	0	0	47	0	0	3917	0	0	0	0	0	0	0	0	91	0	0	0	0	4	0	0	0	32	7	0	0	7	17459	0	69	0	0	0	49	0	0
SFSP140	Rhizosphere	Tree	Day_of_Harvest	4	Old_Forest	Non_MPB	Wet	391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	109	0	0	35	0	0	11	0	49	0	0	0	36	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	193	7	0	0	0	0	4	0	0	0	0	0	0	0	27	0	44	4	0	0	0	7	0	10	0	0	0	0	0	106	13784	0	0	0	0	0	0	0	12	0	0	0	0	63	23	2	0	11	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	59	0	0	0	0	0	0	0	45	0	0	0	0	7927	0	207	0	0	0	0	0	7	0	42	0	0	0	103	0	0	0	0	0	49	0	314	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	9	6	0	0	2	21554	0	10	0	0	0	165	0	0
SFSP141	Rhizosphere	Tree	Day_of_Harvest	5	Old_Forest	Non_MPB	Wet	625	0	0	0	0	0	367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	355	0	0	100	0	0	19	0	35	0	0	0	27	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	375	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	15	0	0	0	8	0	26	0	0	0	0	0	181	8390	0	0	0	0	0	0	0	0	0	0	0	0	223	160	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	14	35	0	0	0	0	0	0	0	57	0	0	0	0	8745	0	153	0	0	0	0	0	6	0	84	0	0	0	76	0	0	0	0	0	62	0	279	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	2	0	0	6	21321	0	27	0	0	0	9	0	0
SFSP142	Rhizosphere	Tree	Day_of_Harvest	6	Old_Forest	Non_MPB	Wet	249	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7025	0	0	80	0	0	57	0	0	11	0	4	0	0	0	23	0	0	0	0	0	56	0	8	0	0	0	0	0	0	0	0	0	101	0	0	0	112	0	0	0	0	2	0	0	0	0	26	0	12	0	0	0	0	8	0	25	0	0	0	0	15	163	8072	0	0	0	0	0	0	0	10	0	0	0	0	37	37	0	0	30	0	32	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	34	4	0	0	0	0	0	0	0	45	0	0	2	0	7845	0	176	0	0	0	0	0	0	0	112	0	0	0	80	0	0	0	0	0	167	0	349	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	21781	0	2	0	0	0	14	0	0
SFSP143	Rhizosphere	Tree	Day_of_Harvest	7	Old_Forest	Non_MPB	Wet	775	0	0	0	0	0	1660	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	314	0	0	122	0	0	0	0	0	0	0	0	52	0	0	0	0	0	11	0	3	0	0	0	0	2	0	0	0	0	200	0	0	0	253	0	0	0	0	0	0	0	0	0	47	0	19	16	0	0	0	11	0	0	0	0	0	0	125	268	4294	0	3	9	0	0	0	0	0	0	0	0	0	13	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	7	0	0	0	0	0	0	0	74	0	0	7	0	3859	0	111	0	0	0	0	0	3	0	104	0	0	0	185	0	0	0	13	0	9	0	214	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	9	0	0	8	15674	0	17	0	0	0	7	0	0
SFSP144	Rhizosphere	Tree	Day_of_Harvest	13	Old_Forest	Non_MPB	Wet	581	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	257	0	0	154	0	17	0	0	0	16	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	953	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	23	2	0	0	0	0	0	198	0	0	0	0	35	727	4419	0	2	0	0	0	0	0	268	0	0	0	0	26	228	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	234	0	0	0	0	0	0	0	76	0	0	0	0	6992	0	637	0	6	0	0	0	66	0	136	0	5	0	158	0	0	0	0	0	0	0	1687	0	0	0	0	0	0	0	0	46	0	0	0	3	4	0	0	0	11	6	0	0	22	32980	0	21	0	0	0	738	0	0
SFSP145	Rhizosphere	Tree	Day_of_Harvest	22	Old_Forest	Non_MPB	Wet	598	0	0	0	0	0	520	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	15	0	0	282	0	6	63	0	0	36	0	0	0	0	0	78	0	0	0	0	0	109	0	72	0	0	0	0	0	0	0	0	0	343	0	0	0	1362	0	0	0	0	0	0	0	0	0	19	0	33	3	0	0	0	12	0	15	0	0	0	0	7	316	18902	0	3	3	0	0	0	0	0	0	0	0	0	28	905	2	0	9	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262	0	0	0	0	0	0	0	108	0	0	8	0	8673	0	873	0	0	0	0	0	11	0	68	0	0	0	277	0	0	0	0	0	10	0	865	0	0	0	0	0	0	0	0	65	0	0	0	11	3	0	0	0	0	10	0	0	14	26715	0	9	0	0	0	32	0	0
SFSP146	Rhizosphere	Tree	Day_of_Harvest	26	Old_Forest	Non_MPB	Wet	698	0	0	0	0	0	5	0	0	0	0	16	0	0	0	0	0	0	0	2	0	0	0	0	0	155	0	0	225	0	0	14	0	14	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	331	0	0	0	181	0	0	0	0	0	0	0	0	0	36	0	31	4	0	0	0	41	0	20	0	5	0	0	0	213	9642	0	11	0	0	2	0	0	0	0	0	0	0	53	53	2	0	17	0	71	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	179	0	0	0	0	0	0	0	195	0	0	3	0	7764	0	285	0	0	0	0	0	6	0	31	0	3	0	110	0	0	0	0	0	0	0	461	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	3	0	0	25	16907	0	52	0	0	0	2270	0	0
SFSP147	Rhizosphere	Tree	Day_of_Harvest	27	Old_Forest	Non_MPB	Wet	856	0	0	5	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	468	0	0	604	0	0	39	0	8	0	0	0	67	0	0	39	128	0	20	0	24	0	5	0	0	0	0	0	0	0	1998	8	0	0	318	0	0	0	0	0	0	0	0	0	71	0	18	8	0	0	0	18	0	22	0	0	0	0	10	662	13545	0	11	0	0	0	0	0	24	0	0	0	0	60	93	0	0	12	0	8	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	118	0	0	0	0	6276	0	622	0	0	0	0	0	17	0	447	0	0	0	240	0	0	0	0	0	7	0	889	0	0	0	0	0	0	0	0	88	0	0	0	0	19	0	0	0	0	0	0	0	9	28929	0	20	0	0	0	644	0	0
SFSP156	Rhizosphere	Tree	Day_of_Harvest	3	2ndPostMPB	MPB	Wet	106	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	22	0	2	0	0	0	0	0	608	0	4	20	0	0	29	4	52	0	0	0	13	4	0	0	32	0	18	0	0	0	2	0	0	0	0	0	0	0	272	0	0	0	27	0	0	0	0	0	0	0	0	0	8	0	14	9	0	0	0	67	0	185	0	3	3	0	67	785	9186	0	6	0	0	0	0	0	0	0	0	0	0	1402	18	0	0	0	0	154	0	0	0	0	16	0	0	0	43	0	0	0	0	380	0	0	263	299	0	0	0	0	0	0	0	6	0	0	0	0	1852	0	54	0	0	0	0	0	19	0	403	0	40	2	683	0	0	0	0	0	5	0	4530	0	0	0	0	0	2	0	0	71	0	0	0	0	0	0	0	0	4	3	0	0	2	46607	0	7	0	0	0	585	0	0
